Src1: 0 0.0, Src2: 0 0.0
Src1: 10 0.45279999999999998, Src2: 10 0.44479999999999997
Src1: 20 0.5, Src2: 20 0.5
Src1: 30 0.5, Src2: 30 0.5
Src1: 40 0.5, Src2: 40 0.5
Src1: 50 0.5, Src2: 50 0.5
Src1: 60 0.5, Src2: 60 0.5
Src1: 70 0.5, Src2: 70 0.5
Src1: 80 0.5, Src2: 80 0.5
Src1: 90 0.5, Src2: 90 0.5
Src1: 100 0.5, Src2: 100 0.5
Src1: 110 0.5, Src2: 110 0.5
Src1: 120 0.5, Src2: 120 0.5
Src1: 130 0.5, Src2: 130 0.5
Src1: 140 0.5, Src2: 140 0.5
Src1: 150 0.5, Src2: 150 0.5
Src1: 160 0.5, Src2: 160 0.5
Src1: 170 0.5, Src2: 170 0.5
Src1: 180 0.5, Src2: 180 0.5
Src1: 190 0.5, Src2: 190 0.5
Src1: 200 0.5, Src2: 200 0.5
Src1: 210 0.5, Src2: 210 0.5
Src1: 220 0.5, Src2: 220 0.5
Src1: 230 0.5, Src2: 230 0.5
Src1: 240 0.5, Src2: 240 0.5
Src1: 250 0.5, Src2: 250 0.5
Src1: 260 0.5, Src2: 260 0.5
Src1: 270 0.5, Src2: 270 0.5
Src1: 280 0.5, Src2: 280 0.5
Src1: 290 0.5, Src2: 290 0.5
Src1: 300 0.5, Src2: 300 0.5
Src1: 310 0.5, Src2: 310 0.5
Src1: 320 0.5, Src2: 320 0.5
Src1: 330 0.5, Src2: 330 0.5
Src1: 340 0.5, Src2: 340 0.5
Src1: 350 0.5, Src2: 350 0.5
Src1: 360 0.5, Src2: 360 0.5
Src1: 370 0.5, Src2: 370 0.5
Src1: 380 0.5, Src2: 380 0.5
Src1: 390 0.5, Src2: 390 0.5
Src1: 400 0.5, Src2: 400 0.5
Average Throughput for Src1-Rcv1 link is 0.5 Mbps
Average Throughput in Src2-Rcv2 link is 0.5 Mbps
Ratio of Throughputs: 1.0
